Year,Type of Households,Households
2021,Family households," 6,950,688 "
2021,Group households," 405,672 "
2021,Lone person households," 2,637,520 "
2022,Family households," 7,025,067 "
2022,Group households," 403,494 "
2022,Lone person households," 2,670,217 "
2023,Family households," 7,152,067 "
2023,Group households," 414,121 "
2023,Lone person households," 2,722,940 "
2024,Family households," 7,262,388 "
2024,Group households," 423,261 "
2024,Lone person households," 2,770,314 "
2025,Family households," 7,373,634 "
2025,Group households," 432,505 "
2025,Lone person households," 2,816,782 "
2026,Family households," 7,482,235 "
2026,Group households," 442,274 "
2026,Lone person households," 2,863,093 "
2027,Family households," 7,591,839 "
2027,Group households," 450,842 "
2027,Lone person households," 2,915,882 "
2028,Family households," 7,699,268 "
2028,Group households," 459,489 "
2028,Lone person households," 2,966,630 "
2029,Family households," 7,804,924 "
2029,Group households," 467,760 "
2029,Lone person households," 3,016,253 "
2030,Family households," 7,909,901 "
2030,Group households," 475,506 "
2030,Lone person households," 3,064,388 "
2031,Family households," 8,011,192 "
2031,Group households," 483,016 "
2031,Lone person households," 3,111,834 "
2032,Family households," 8,109,563 "
2032,Group households," 489,832 "
2032,Lone person households," 3,162,851 "
2033,Family households," 8,207,359 "
2033,Group households," 496,612 "
2033,Lone person households," 3,212,097 "
2034,Family households," 8,304,804 "
2034,Group households," 502,848 "
2034,Lone person households," 3,259,688 "
2035,Family households," 8,402,146 "
2035,Group households," 508,492 "
2035,Lone person households," 3,305,966 "
2036,Family households," 8,497,565 "
2036,Group households," 514,016 "
2036,Lone person households," 3,351,857 "
2037,Family households," 8,594,095 "
2037,Group households," 518,050 "
2037,Lone person households," 3,400,700 "
2038,Family households," 8,688,313 "
2038,Group households," 521,675 "
2038,Lone person households," 3,448,341 "
2039,Family households," 8,780,680 "
2039,Group households," 525,068 "
2039,Lone person households," 3,494,692 "
2040,Family households," 8,871,093 "
2040,Group households," 527,921 "
2040,Lone person households," 3,539,804 "
2041,Family households," 8,959,628 "
2041,Group households," 530,882 "
2041,Lone person households," 3,584,793 "
2042,Family households," 9,046,292 "
2042,Group households," 533,913 "
2042,Lone person households," 3,628,447 "
2043,Family households," 9,129,618 "
2043,Group households," 536,390 "
2043,Lone person households," 3,670,772 "
2044,Family households," 9,210,904 "
2044,Group households," 538,915 "
2044,Lone person households," 3,712,371 "
2045,Family households," 9,289,762 "
2045,Group households," 541,395 "
2045,Lone person households," 3,753,086 "
2046,Family households," 9,367,465 "
2046,Group households," 543,688 "
2046,Lone person households," 3,793,488 "
