Year,Number of Australian-born (M),Number of overseas-born (M)
1891,1.8,0.86
1892,1.89,0.86
1893,1.98,0.86
1894,2.08,0.86
1895,2.18,0.86
1896,2.29,0.86
1897,2.4,0.86
1898,2.52,0.86
1899,2.65,0.86
1900,2.78,0.86
1901,2.92,0.86
1902,2.99,0.85
1903,3.06,0.84
1904,3.13,0.83
1905,3.21,0.82
1906,3.28,0.81
1907,3.36,0.8
1908,3.44,0.79
1909,3.53,0.78
1910,3.61,0.77
1911,3.7,0.76
1912,3.78,0.77
1913,3.86,0.77
1914,3.95,0.78
1915,4.03,0.79
1916,4.12,0.8
1917,4.21,0.81
1918,4.31,0.81
1919,4.4,0.82
1920,4.5,0.83
1921,4.6,0.84
1922,4.68,0.84
1923,4.77,0.85
1924,4.86,0.85
1925,4.95,0.86
1926,5.04,0.87
1927,5.13,0.87
1928,5.23,0.88
1929,5.32,0.88
1930,5.42,0.89
1931,5.52,0.89
1932,5.62,0.9
1933,5.73,0.9
1934,5.8,0.89
1935,5.87,0.88
1936,5.95,0.87
1937,6.02,0.85
1938,6.1,0.84
1939,6.18,0.83
1940,6.26,0.82
1941,6.34,0.81
1942,6.42,0.8
1943,6.5,0.79
1944,6.58,0.78
1945,6.66,0.77
1946,6.75,0.75
1947,6.84,0.74
1948,6.95,0.8
1949,7.07,0.87
1950,7.19,0.94
1951,7.32,1.02
1952,7.44,1.1
1953,7.57,1.19
1954,7.7,1.29
1955,7.84,1.35
1956,7.98,1.41
1957,8.13,1.48
1958,8.27,1.55
1959,8.42,1.62
1960,8.57,1.7
1961,8.73,1.78
1962,8.86,1.84
1963,9,1.91
1964,9.14,1.98
1965,9.28,2.06
1966,9.42,2.13
1967,9.57,2.21
1968,9.72,2.3
1969,9.87,2.39
1970,10.02,2.48
1971,10.18,2.58
1972,10.3,2.6
1973,10.43,2.62
1974,10.56,2.64
1975,10.69,2.67
1976,10.83,2.69
1977,10.96,2.75
1978,11.1,2.8
1979,11.24,2.86
1980,11.39,2.93
1981,11.53,2.99
1982,11.74,3.06
1983,11.96,3.14
1984,12.17,3.23
1985,12.4,3.31
1986,12.62,3.39
1987,12.76,3.5
1988,12.9,3.63
1989,13.04,3.77
1990,13.18,3.89
1991,13.32,3.97
1992,13.45,4.03
1993,13.58,4.05
1994,13.72,4.09
1995,13.85,4.15
1996,13.98,4.24
1997,14.13,4.29
1998,14.3,4.31
1999,14.47,4.35
2000,14.64,4.39
2001,14.82,4.45
2002,14.94,4.55
2003,15.07,4.66
2004,15.18,4.75
2005,15.3,4.88
2006,15.42,5.03
2007,15.59,5.23
2008,15.77,5.48
2009,15.96,5.73
2010,16.15,5.88
2011,16.32,6.02
2012,16.52,6.21
2013,16.72,6.41
2014,16.91,6.57
2015,17.09,6.73
2016,17.28,6.91
2017,17.45,7.14
2018,17.62,7.35
2019,17.79,7.55
2020,17.98,7.67
2021,18.16,7.53
2022,18.33,7.68
2023,18.47,8.18
